[Lv-090 Lamp] Lv-090.LAMP,7/23/2013,2:00 PM,7/23/2013,3:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,7/24/2013,3:00 PM,7/24/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,7/25/2013,3:00 PM,7/25/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP + expert,7/26/2013,2:00 PM,7/26/2013,2:45 PM,LHalamaha Lv-090 Lamp,1002A
[Lv-090 Lamp] Lv-090.LAMP,7/26/2013,3:00 PM,7/26/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,7/29/2013,1:00 PM,7/29/2013,2:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,7/30/2013,2:00 PM,7/30/2013,3:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,7/31/2013,3:00 PM,7/31/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/1/2013,3:00 PM,8/1/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP + expert,8/2/2013,2:00 PM,8/2/2013,2:45 PM,LHalamaha Lv-090 Lamp,1002A
[Lv-090 Lamp] Lv-090.LAMP,8/2/2013,3:00 PM,8/2/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/5/2013,1:00 PM,8/5/2013,2:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/6/2013,2:00 PM,8/6/2013,3:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/7/2013,3:00 PM,8/7/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/8/2013,3:00 PM,8/8/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP + expert,8/9/2013,2:00 PM,8/9/2013,2:45 PM,LHalamaha Lv-090 Lamp,1002A
[Lv-090 Lamp] Lv-090.LAMP,8/9/2013,3:00 PM,8/9/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/12/2013,1:00 PM,8/12/2013,2:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/13/2013,2:00 PM,8/13/2013,3:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/14/2013,3:00 PM,8/14/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/15/2013,3:00 PM,8/15/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Presentation about SoftServe,8/15/2013,5:00 PM,8/15/2013,5:45 PM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-090 Lamp] Lv-090.LAMP + expert,8/16/2013,2:00 PM,8/16/2013,2:45 PM,LHalamaha Lv-090 Lamp,1002A
[Lv-090 Lamp] Lv-090.LAMP,8/16/2013,3:00 PM,8/16/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/19/2013,1:00 PM,8/19/2013,2:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/20/2013,2:00 PM,8/20/2013,3:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/21/2013,3:00 PM,8/21/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/22/2013,3:00 PM,8/22/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP + expert,8/23/2013,2:00 PM,8/23/2013,2:45 PM,LHalamaha Lv-090 Lamp,1002A
[Lv-090 Lamp] Lv-090.LAMP,8/23/2013,3:00 PM,8/23/2013,4:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/26/2013,1:00 PM,8/26/2013,2:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090 Lamp] Lv-090.LAMP,8/27/2013,2:00 PM,8/27/2013,3:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090. DB] Lv-090.DB,3/17/2014,12:00 PM,3/17/2014,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/18/2014,12:00 PM,3/18/2014,1:45 PM,AKorkuna Lv-090. DB,1002A
